FromAccount,ToAccount,Amount,IsFraud,IsCycleFraud
89,50087,64026.35,0,0
90,50088,257796.39,0,0
91,50089,205895.58,0,0
92,50090,485080.22,0,0
93,50091,225958.46,0,0
94,50092,222121.21,0,0
95,50093,854879.49,0,0
96,50094,281637.36,0,0
97,50095,91422.92,0,0
98,50096,101166.44,0,0
99,50097,1056112.09,0,0
100,50098,1140755.1,0,0
101,50099,154226.49,0,0
102,50100,861497.78,0,0
103,50101,789837.99,0,0
104,50102,708528.94,0,0
105,50103,868078.98,0,0
106,50104,1011976.64,0,0
107,50105,118109.87,0,0
108,50106,1729655.31,0,0
109,50107,1055209.28,0,0
110,50108,1085308.8,0,0
111,50109,125093.9,0,0
112,50110,197321.85,0,0
113,50111,1326974.41,0,0
114,50112,258444.31,0,0
115,50113,544876.66,0,0
116,50114,135434.3,0,0
117,50115,126345.0,0,0
118,50116,449169.01,0,0
119,50117,729655.24,0,0
120,50118,388165.93,0,0
121,50119,179127.42,0,0
122,50120,110212.15,0,0
123,50121,83817.58,0,0
124,50122,474607.36,0,0
125,50123,1014192.08,0,0
126,50124,127334.52,0,0
127,50125,1041488.61,0,0
128,50126,652523.44,0,0
129,50127,205864.7,0,0
130,50128,1654712.93,0,0
131,50129,265575.13,0,0
132,50130,116911.44,0,0
133,50131,402054.7,0,0
134,50132,217850.65,0,0
135,50133,53876.57,0,0
136,50134,207964.97,0,0
137,50135,415339.77,0,0
138,50136,161933.86,0,0
139,50137,4469873.54,0,0
140,50138,284975.15,0,0
141,50139,492833.78,0,0
142,50140,288387.64,0,0
143,50141,77156.8,0,0
144,50142,363357.29,0,0
145,50143,183749.83,0,0
146,50144,734586.75,0,0
147,50145,922474.74,0,0
148,50146,804842.57,0,0
149,50147,255182.55,0,0
150,50148,190164.16,0,0
151,50149,213930.06,0,0
152,50150,486090.33,0,0
153,50151,24130.13,0,0
154,50152,1074491.72,0,0
155,50153,221316.94,0,0
156,50154,673555.5,0,0
157,50155,600581.61,0,0
158,50156,1256295.66,0,0
159,50157,104497.6,0,0
160,50158,650493.57,0,0
161,50159,446796.69,0,0
162,50160,174849.2,0,0
163,50161,493761.52,0,0
164,50162,730034.5,0,0
165,50163,564036.28,0,0
166,50164,99103.05,0,0
167,50165,164839.42,0,0
168,50166,206244.63,0,0
169,50167,10000000.0,0,0
170,50168,926234.39,0,0
171,50169,797781.91,0,0
172,50170,140812.88,0,0
173,50171,502786.93,0,0
174,50172,201949.78,0,0
175,50173,21791.73,0,0
176,50174,487202.18,0,0
177,50175,712422.81,0,0
178,50176,305113.36,0,0
179,50177,292211.71,0,0
180,50178,119152.47,0,0
181,50179,360438.36,0,0
182,50180,357288.19,0,0
183,50181,94480.91,0,0
184,50182,379722.07,0,0
185,50183,715787.77,0,0
186,50184,1067454.29,0,0
187,50185,47567.97,0,0
188,50186,419170.86,0,0
189,50187,256973.07,0,0
190,50188,190820.85,0,0
191,50189,2631285.39,0,0
192,50190,636775.58,0,0
193,50191,1326310.62,0,0
194,50192,354181.01,0,0
195,50193,1820275.89,0,0
196,50194,425976.67,0,0
197,50195,295844.98,0,0
198,50196,472252.83,0,0
199,50197,1859479.88,0,0
200,50198,418312.38,0,0
201,50199,832787.66,0,0
202,50200,660726.02,0,0
203,50201,118478.61,0,0
204,50202,440481.61,0,0
205,50203,411796.54,0,0
206,50204,169323.16,0,0
207,50205,1001847.55,0,0
208,50206,572204.72,0,0
209,50207,278460.84,0,0
210,50208,748694.87,0,0
211,50209,2278762.91,0,0
212,50210,538474.99,0,0
213,50211,1395909.29,0,0
214,50212,736869.06,0,0
215,50213,569145.64,0,0
216,50214,1246557.77,0,0
217,50215,211240.16,0,0
218,50216,345863.17,0,0
219,50217,75468.12,0,0
220,50218,56640.79,0,0
221,50219,166115.52,0,0
222,50220,1069193.35,0,0
223,50221,6909.87,0,0
224,50222,1185597.13,0,0
225,50223,3869.87,0,0
226,50224,3108287.63,0,0
227,50225,510752.63,0,0
228,50226,218590.12,0,0
229,50227,236436.53,0,0
230,50228,198522.27,0,0
231,50229,149973.2,0,0
232,50230,21051.66,0,0
233,50231,722763.05,0,0
234,50232,68434.63,0,0
235,50233,965888.72,0,0
236,50234,1919788.95,0,0
237,50235,1111891.38,0,0
238,50236,425237.4,0,0
239,50237,268325.89,0,0
240,50238,9233620.03,0,0
241,50239,1105054.29,0,0
242,50240,275669.4,0,0
243,50241,1282336.74,0,0
244,50242,7564390.73,0,0
245,50243,350728.96,0,0
246,50244,4709.81,0,0
247,50245,97181.07,0,0
248,50246,5197.0,0,0
249,50247,525689.52,0,0
250,50248,354445.45,0,0
251,50249,249734.06,0,0
252,50250,794580.63,0,0
253,50251,405020.29,0,0
254,50252,312931.0,0,0
255,50253,96283.63,0,0
256,50254,345618.21,0,0
257,50255,65772.04,0,0
258,50256,167627.4,0,0
259,50257,169545.5,0,0
260,50258,2258155.58,0,0
261,50259,247476.49,0,0
262,50260,946858.17,0,0
263,50261,38421.62,0,0
264,50262,1160547.06,0,0
265,50263,1747296.32,0,0
266,50264,34407.15,0,0
267,50265,3135480.71,0,0
268,50266,105745.92,0,0
269,50267,868637.48,0,0
270,50268,580231.38,0,0
271,50269,792805.61,0,0
272,50270,249836.38,0,0
273,50271,274188.06,0,0
274,50272,366101.63,0,0
275,50273,225690.51,0,0
276,50274,498080.12,0,0
277,50275,874049.93,0,0
278,50276,241581.51,0,0
279,50277,2191918.12,0,0
280,50278,190568.15,0,0
281,50279,117694.23,0,0
282,50280,342721.6,0,0
283,50281,1743279.11,0,0
284,50282,639416.07,0,0
285,50283,2863790.13,0,0
286,50284,335575.31,0,0
287,50285,639770.38,0,0
288,50286,382088.44,0,0
289,50287,409969.36,0,0
290,50288,143512.64,0,0
291,50289,695334.65,0,0
292,50290,108647.55,0,0
293,50291,517122.54,0,0
294,50292,2874755.36,0,0
295,50293,9370.08,0,0
296,50294,639739.63,0,0
297,50295,233830.46,0,0
298,50296,176756.63,0,0
299,50297,404621.03,0,0
300,50298,123084.28,0,0
301,50299,280079.54,0,0
302,50300,601172.81,0,0
303,50301,1579191.82,0,0
304,50302,1010987.92,0,0
305,50303,628839.33,0,0
306,50304,113877.35,0,0
307,50305,140927.46,0,0
308,50306,758273.2,0,0
309,50307,603528.05,0,0
310,50308,660050.14,0,0
311,50309,268603.6,0,0
312,50310,212841.14,0,0
313,50311,15115692.47,0,0
314,50312,1241641.06,0,0
315,50313,821232.14,0,0
316,50314,513484.49,0,0
317,50315,647622.84,0,0
318,50316,625482.9,0,0
319,50317,818798.13,0,0
320,50318,1046190.6,0,0
321,50319,719966.69,0,0
322,50320,89513.17,0,0
323,50321,1043024.0,0,0
324,50322,187654.31,0,0
325,50323,442000.32,0,0
326,50324,546461.38,0,0
327,50325,550285.26,0,0
328,50326,1829480.91,0,0
329,50327,423171.19,0,0
330,50328,302911.42,0,0
331,50329,6938491.05,0,0
332,50330,1467468.19,0,0
333,50331,432629.27,0,0
334,50332,2087807.38,0,0
335,50333,54024.24,0,0
336,50334,88337.3,0,0
337,50335,316189.87,0,0
338,50336,930348.93,0,0
339,50337,4052066.64,0,0
340,50338,1528307.87,0,0
341,50339,3764452.45,0,0
342,50340,109319.96,0,0
343,50341,547288.19,0,0
344,50342,226906.42,0,0
345,50343,115849.54,0,0
346,50344,3011102.29,1,0
347,50345,1773792.09,0,0
348,50346,1013.73,0,0
349,50347,345421.86,0,0
350,50348,613296.16,0,0
351,50349,1230072.92,0,0
352,50350,162125.0,0,0
353,50351,1385967.04,0,0
354,50352,71633.07,0,0
355,50353,130169.83,0,0
356,50354,646193.18,0,0
357,50355,23622.8,0,0
358,50356,139071.81,0,0
359,50357,287992.72,0,0
360,50358,436391.14,0,0
361,50359,1343170.64,0,0
362,50360,478821.3,0,0
363,50361,1034278.97,0,0
364,50362,1051895.59,0,0
365,50363,358942.87,0,0
366,50364,306830.39,0,0
367,50365,20498.95,0,0
368,50366,520679.21,0,0
369,50367,585500.55,0,0
370,50368,741.52,0,0
371,50369,486375.58,0,0
372,50370,1334087.2,0,0
373,50371,362802.05,0,0
374,50372,2173038.87,0,0
375,50373,2006396.36,0,0
376,50374,83678.94,0,0
377,50375,680433.5,0,0
378,50376,69673.31,0,0
379,50377,164085.27,0,0
380,50378,97916.03,0,0
381,50379,150828.02,0,0
382,50380,83351.25,0,0
383,50381,14087.7,0,0
384,50382,1087866.0,0,0
385,50207,95000.03,0,0
386,50383,266161.5,0,0
387,50384,369784.95,0,0
388,50385,182307.83,0,0
389,50386,259144.87,0,0
390,50387,878007.69,0,0
391,50388,31671.97,0,0
392,50389,592836.57,0,0
393,50390,544016.43,0,0
394,50391,130839.98,0,0
395,50392,765232.68,0,0
396,50393,1098914.51,0,0
397,50394,117228.13,0,0
398,50395,178612.36,0,0
399,50396,192250.94,0,0
400,50397,46464.95,0,0
401,50398,396953.55,0,0
402,50399,1112780.5,0,0
403,50400,283296.28,0,0
404,50401,3124956.97,0,0
405,50402,283082.47,0,0
406,50403,84614.97,0,0
407,50404,583708.18,0,0
408,50405,171611.28,0,0
409,50406,248109.43,0,0
410,50407,434735.25,0,0
411,50408,315654.12,0,0
412,50409,318529.07,0,0
413,50410,521935.87,0,0
414,50411,2291566.83,0,0
415,50412,426532.4,1,0
416,50413,71788.49,0,0
417,50414,546290.11,0,0
418,50415,958854.3,0,0
419,50416,62726.06,0,0
420,50417,1464837.74,0,0
421,50418,585422.12,0,0
422,50419,237302.16,0,0
423,50420,361418.03,0,0
424,50421,23877.15,0,0
425,50422,1416991.0,0,0
426,50423,1194084.38,0,0
427,50424,2587487.35,0,0
428,50425,1719627.6,0,0
429,50426,265118.39,0,0
430,50427,1826910.49,0,0
431,50428,133088.98,0,0
432,50429,36249.35,0,0
433,50430,258737.5,0,0
434,50431,234791.77,0,0
435,50432,4683076.06,0,0
436,50433,375391.22,0,0
437,50434,1782047.28,0,0
438,50435,274585.02,0,0
439,50436,296061.43,0,0
440,50437,36574.73,0,0
441,50438,5267825.57,0,0
442,50439,515146.32,0,0
443,50440,2273324.7,0,0
444,50441,466224.3,0,0
445,50442,1405616.52,0,0
446,50443,1470810.51,0,0
447,50444,791099.95,0,0
448,50445,622146.61,0,0
449,50446,1478537.73,0,0
450,50447,233690.44,0,0
451,50448,710590.17,0,0
452,50449,493185.29,0,0
453,50450,3176779.86,0,0
454,50451,275933.1,0,0
455,50452,197690.75,0,0
456,50453,1874939.32,0,0
457,50454,1502638.23,0,0
458,50455,400320.11,0,0
459,50456,354413.21,0,0
460,50457,221230.36,0,0
461,50458,4433848.98,0,0
462,50459,1002793.77,0,0
463,50460,123150.15,0,0
464,50461,591730.18,0,0
465,50462,2476496.88,0,0
466,50463,1226097.81,0,0
467,50464,146834.35,0,0
468,50465,282261.81,0,0
469,50466,488272.41,0,0
470,50467,100202.49,0,0
471,50468,17687909.43,0,0
472,50469,873537.5,0,0
473,50470,555942.41,0,0
474,50471,952288.48,0,0
475,50472,235750.53,1,0
476,50473,500790.21,0,0
477,50474,1203527.31,0,0
478,50475,19310.72,0,0
479,50476,107826.64,0,0
480,50477,1354299.23,0,0
481,50478,327589.04,0,0
482,50479,171308.76,0,0
483,50480,156662.6,0,0
484,50481,2363644.91,0,0
485,50482,75582.83,0,0
486,50483,315595.01,0,0
487,50484,445132.21,0,0
488,50485,1224656.14,0,0
489,50486,349444.57,0,0
490,50487,449366.68,0,0
491,50488,807196.51,0,0
492,50489,10000000.0,0,0
493,50490,641653.74,0,0
494,50491,435488.43,0,0
495,50492,537071.49,0,0
496,50493,77741.16,0,0
497,50494,156272.56,0,0
498,50495,74874.91,0,0
499,50496,288368.23,0,0
500,50497,5138.44,0,0
501,50498,1588829.74,0,0
502,50499,523716.67,0,0
503,50500,261239.06,0,0
504,50501,175248.75,0,0
505,50502,2016777.89,0,0
506,50503,630888.74,0,0
507,50504,868077.14,0,0
508,50505,608294.21,0,0
509,50506,670876.43,0,0
510,50507,1395444.52,0,0
511,50508,92533.64,0,0
512,50509,489323.74,0,0
513,50510,31497157.85,0,0
514,50511,226759.02,0,0
515,50512,70781.44,0,0
516,50513,1023746.71,0,0
517,50514,131661.94,0,0
518,50515,19564.16,0,0
519,50516,1950228.46,0,0
520,50517,589554.13,0,0
521,50518,451332.22,0,0
522,50519,1379968.86,0,0
523,50520,30845.1,0,0
524,50521,1120582.49,0,0
525,50522,713226.57,0,0
526,50523,1352670.12,0,0
527,50524,121689.63,0,0
528,50525,102395.52,0,0
529,50526,379793.3,0,0
530,50527,6454041.6,0,0
531,50528,77858.9,0,0
532,50529,415894.04,0,0
533,50530,176993.66,0,0
534,50531,622684.09,0,0
535,50532,614813.95,0,0
536,50533,154533.41,0,0
537,50534,567056.84,0,0
538,50535,624829.23,0,0
539,50536,1255155.11,0,0
540,50537,470703.63,0,0
541,50538,4770395.43,0,0
542,50539,283864.95,0,0
543,50540,28737.33,0,0
544,50541,463083.73,0,0
545,50542,836089.15,0,0
546,50543,86919.49,0,0
547,50544,107853.44,0,0
548,50545,1481100.53,0,0
549,50546,421368.2,0,0
550,50547,1374865.39,0,0
551,50548,458374.11,0,0
552,50549,529613.17,0,0
553,50550,120117.71,0,0
554,50551,362094.22,0,0
555,50552,746428.59,0,0
556,50553,106826.56,0,0
557,50554,2154968.13,0,0
558,50555,57162.7,0,0
559,50556,310084.18,0,0
560,50557,63606.13,0,0
561,50558,414584.66,0,0
562,50559,2651597.6,0,0
563,50560,1084213.84,0,0
564,50561,510135.68,0,0
565,50562,513269.25,0,0
566,50563,850813.4,0,0
567,50564,611233.09,0,0
568,50565,467268.68,0,0
569,50566,1401443.28,0,0
570,50567,143570.67,0,0
571,50568,3310839.01,0,0
572,50569,544093.99,0,0
573,50570,510519.24,0,0
574,50571,357302.24,0,0
575,50572,357215.73,0,0
576,50573,796068.4,0,0
577,50574,587208.24,0,0
578,50575,1608668.55,0,0
579,50576,392507.79,0,0
580,50577,299011.56,0,0
581,50578,269606.23,0,0
582,50579,389682.23,0,0
583,50580,21122955.46,0,0
584,50581,2978088.8,0,0
585,50582,1555199.96,0,0
586,50583,108415.68,0,0
587,50584,2153507.71,0,0
588,50585,6177049.39,0,0
589,50586,172318.46,0,0
590,50587,829374.69,0,0
591,50588,133289.0,0,0
592,50589,792870.03,0,0
593,50590,318213.68,0,0
594,50591,190824.17,0,0
595,50592,1858677.94,0,0
596,50593,727358.68,0,0
597,50594,72265.19,0,0
598,50595,232969.91,0,0
599,50596,542259.57,0,0
600,50597,79857.24,0,0
601,50598,1626639.71,0,0
602,50599,36113.59,0,0
603,50600,379072.73,0,0
604,50601,615997.38,0,0
605,50602,346625.0,0,0
606,50603,566322.11,0,0
607,50604,220621.93,0,0
608,50605,31944.26,0,0
609,50606,48299.77,1,0
610,50607,441578.02,0,0
611,50608,2196903.55,0,0
612,50609,466087.41,0,0
613,50610,105920.57,0,0
614,50611,1559036.07,0,0
615,50612,251876.2,0,0
616,50613,168970.48,0,0
617,50614,469959.81,0,0
618,50615,1280088.29,0,0
619,50616,274946.89,0,0
620,50617,61215.75,0,0
621,50618,361436.85,0,0
622,50619,1539860.23,0,0
623,50620,4340133.75,0,0
624,50621,1611526.31,0,0
625,50622,501133.03,0,0
626,50623,1183332.9,0,0
627,50624,216364.98,0,0
628,50625,24001.5,0,0
629,50626,134082.16,0,0
630,50627,592147.24,0,0
631,50628,1708348.64,0,0
632,50629,207126.4,0,0
633,50630,278370.37,0,0
634,50631,198590.12,0,0
635,50632,1162120.32,0,0
636,50633,1186754.8,0,0
637,50634,1325656.42,0,0
638,50635,320743.99,0,0
639,50636,750482.5,0,0
640,50637,465219.67,0,0
641,50638,154207.34,0,0
642,50639,642980.03,0,0
643,50640,131081.7,0,0
644,50641,1368009.7,0,0
645,50642,453278.47,0,0
646,50643,229320.57,0,0
647,50644,967363.07,0,0
648,50645,2947900.3,0,0
649,50646,8860561.44,0,0
650,50647,1625822.59,0,0
651,50648,327723.14,0,0
652,50649,565822.68,0,0
653,50650,702387.36,0,0
654,50651,825336.19,0,0
655,50652,463118.81,0,0
656,50653,366991.59,0,0
657,50424,103328.41,0,0
658,50654,187544.58,0,0
659,50655,415059.7,0,0
660,50656,7466.6,0,0
661,50657,1063429.06,0,0
662,50658,1956685.78,0,0
663,50659,1763311.42,0,0
664,50660,378079.14,0,0
665,50661,1433038.32,1,0
666,50662,670545.01,0,0
667,50663,72705.88,0,0
668,50664,547391.4,0,0
669,50665,506632.89,0,0
670,50666,866506.66,0,0
671,50667,504471.88,0,0
672,50668,418458.3,0,0
673,50669,168846.52,0,0
674,50670,1982095.25,0,0
675,50671,299237.94,0,0
676,50672,2858077.07,0,0
677,50673,22348.34,0,0
678,50674,804429.37,0,0
679,50675,1886744.6,0,0
680,50676,854209.22,0,0
681,50677,136395.05,0,0
682,50678,437789.64,0,0
683,50679,251124.91,0,0
684,50680,596521.6,0,0
685,50681,930443.39,0,0
686,50682,974771.18,0,0
687,50683,127220.3,0,0
688,50684,690110.74,0,0
689,50685,625951.2,0,0
690,50686,85456.21,0,0
691,50687,148654.56,0,0
692,50688,1381814.81,0,0
693,50689,458690.62,0,0
694,50690,170939.63,0,0
695,50691,1523464.02,0,0
696,50692,10000000.0,0,0
697,50693,165512.29,0,0
698,50694,400905.29,0,0
699,50695,383707.63,0,0
700,50696,556849.49,0,0
701,50697,171547.69,0,0
702,50698,37532.96,0,0
703,50699,475200.94,0,0
704,50700,361667.61,0,0
705,50701,77290.83,0,0
706,50702,472893.44,0,0
707,50703,113596.44,0,0
708,50704,1183019.2,0,0
709,50705,95235.52,0,0
710,50706,1525286.24,0,0
711,50707,310218.75,0,0
712,50708,947706.71,0,0
713,50709,964366.93,0,0
714,50710,290660.51,0,0
715,50711,3080798.7,0,0
716,50712,4785068.42,0,0
717,50713,268428.42,0,0
718,50714,74587.34,0,0
719,50715,561797.01,0,0
720,50716,320015.76,0,0
721,50717,811042.29,0,0
722,50718,241041.68,0,0
723,50719,1073619.31,0,0
724,50720,4834007.38,0,0
725,50721,90399.79,0,0
726,50722,558708.32,0,0
727,50723,139063.77,0,0
728,50724,535864.21,0,0
729,50725,65157.6,0,0
730,50726,322685.76,0,0
731,50727,2270655.4,0,0
732,50728,147422.22,0,0
733,50729,240726.05,0,0
734,50730,323265.79,0,0
735,50731,565216.97,0,0
736,50732,281806.4,0,0
737,50733,86694.37,0,0
738,50734,748175.4,0,0
739,50735,264557.3,0,0
740,50736,53665.49,0,0
741,50737,2327956.45,0,0
742,50738,15875.42,0,0
743,50739,802417.45,1,0
744,50740,498667.64,0,0
745,50741,8088.08,0,0
746,50742,564563.13,0,0
747,50743,2927201.72,0,0
748,50744,265740.4,0,0
749,50745,77476.75,0,0
750,50746,664403.74,0,0
751,50747,272837.91,0,0
752,50748,185129.27,0,0
753,50749,1544897.58,0,0
754,50750,905171.53,0,0
755,50751,708968.47,0,0
756,50752,182142.01,0,0
757,50753,172437.24,0,0
758,50754,217029.02,0,0
759,50755,458580.26,0,0
760,50756,130022.58,0,0
761,50757,47637.54,0,0
762,50758,320405.61,0,0
763,50759,1513573.26,0,0
764,50760,905403.73,0,0
765,50761,4373627.91,0,0
766,50762,140394.32,0,0
767,50763,762112.81,0,0
768,50764,21192.24,0,0
769,50765,1780150.76,0,0
770,50766,1549134.42,0,0
771,50767,159082.32,0,0
772,50768,643225.19,0,0
773,50769,217030.67,0,0
774,50770,51754.36,0,0
775,50771,3533345.16,0,0
776,50772,462095.6,0,0
777,50773,366645.89,0,0
778,50774,131857.93,0,0
779,50775,86712.81,0,0
780,50776,3608210.62,0,0
781,50777,959226.39,0,0
782,50778,965640.61,0,0
783,50779,771075.81,0,0
784,50780,868347.63,0,0
785,50781,605084.38,0,0
786,50782,55990.33,0,0
787,50783,257236.86,0,0
788,50784,1500421.54,0,0
789,50785,507137.61,0,0
790,50786,1882410.11,0,0
791,50787,1114250.1,0,0
792,50788,314783.51,0,0
793,50789,134182.17,0,0
794,50790,302712.25,0,0
795,50791,411068.55,0,0
796,50792,1712253.64,0,0
797,50793,533610.88,0,0
798,50794,167854.67,0,0
799,50795,569787.98,0,0
800,50796,128886.19,0,0
801,50797,478711.87,0,0
802,50798,525141.14,0,0
803,50799,1666754.19,0,0
804,50800,349047.27,0,0
805,50801,728183.27,0,0
806,50802,703361.66,0,0
807,50803,117132.87,0,0
808,50804,609255.96,0,0
809,50805,1451376.47,0,0
810,50806,1289781.84,0,0
811,50807,509963.06,0,0
812,50808,193151.66,0,0
813,50809,880659.17,0,0
814,50810,823614.81,0,0
815,50811,442088.66,0,0
816,50812,745562.84,0,0
817,50813,360193.1,0,0
818,50814,665987.91,0,0
819,50815,935828.13,0,0
820,50816,312870.6,0,0
821,50817,1194509.49,0,0
822,50818,321885.85,0,0
823,50819,480108.21,0,0
824,50820,15973.67,0,0
825,50821,577489.41,0,0
826,50822,62296.05,0,0
827,50823,725670.36,0,0
828,50824,492915.68,0,0
829,50825,2107734.08,0,0
830,50826,314876.86,0,0
831,50827,775460.86,0,0
832,50828,292335.75,0,0
833,50829,388101.26,0,0
834,50830,482801.38,0,0
835,50831,1312932.12,0,0
836,50832,440441.75,0,0
837,50833,295066.35,0,0
838,50834,136601.26,0,0
839,50835,919439.67,0,0
840,50403,114288.61,0,0
841,50836,123166.95,0,0
842,50837,1150336.91,0,0
843,50838,769101.52,0,0
844,50839,590448.5,0,0
845,50840,193168.97,0,0
846,50841,296549.34,0,0
847,50842,1193763.66,0,0
848,50843,683656.12,0,0
849,50844,127387.39,0,0
850,50845,1177425.19,0,0
851,50846,376627.15,0,0
852,50847,2190633.92,0,0
853,50848,146321.99,0,0
854,50849,199142.12,0,0
855,50850,869875.99,0,0
856,50851,247593.5,0,0
857,50852,1159442.67,0,0
858,50853,217139.53,0,0
859,50854,99755.39,0,0
860,50855,413696.81,0,0
861,50856,667721.47,0,0
862,50857,681001.16,0,0
863,50858,336326.69,0,0
864,50859,513183.42,0,0
865,50860,271532.84,0,0
866,50861,629584.99,0,0
867,50862,83792.07,0,0
868,50863,1936144.33,0,0
869,50864,383630.29,0,0
870,50865,286579.61,0,0
871,50866,900951.18,0,0
872,50867,385256.71,0,0
873,50868,726937.48,0,0
874,50869,2245299.83,0,0
875,50870,451444.07,0,0
876,50871,1012178.82,0,0
877,50872,503768.66,0,0
878,50873,647738.66,0,0
879,50874,233439.43,0,0
880,50875,213161.11,0,0
881,50876,6907287.51,0,0
882,50877,296582.27,0,0
883,50878,264660.81,0,0
884,50879,423931.3,0,0
885,50880,232362.3,0,0
886,50881,9691.87,0,0
887,50882,3437285.0,0,0
888,50883,351674.9,0,0
889,50884,640656.44,0,0
890,50885,1618213.14,0,0
891,50886,828281.38,0,0
892,50887,279749.0,0,0
893,50888,48183.99,0,0
894,50889,1996001.87,0,0
895,50890,763490.48,0,0
896,50891,245676.44,0,0
897,50892,2856219.61,0,0
898,50893,998531.04,0,0
899,50894,144838.46,0,0
900,50895,882385.14,0,0
901,50896,571653.47,0,0
902,50897,13415.93,0,0
903,50898,353840.77,0,0
904,50899,1113354.96,0,0
905,50900,179915.39,0,0
906,50901,161889.85,0,0
907,50902,211504.22,0,0
908,50903,6113371.21,0,0
909,50904,277296.97,0,0
910,50905,695692.22,0,0
911,50906,131001.08,0,0
912,50907,91057.01,0,0
913,50908,24506.55,0,0
914,50909,220494.54,0,0
915,50910,144559.03,0,0
916,50911,256924.67,0,0
917,50912,187347.72,0,0
918,50913,2163861.01,0,0
919,50914,479401.62,0,0
920,50915,526482.19,0,0
921,50916,408336.23,0,0
922,50917,142999.98,0,0
923,50918,1131201.65,0,0
924,50919,481583.49,0,0
925,50920,454888.91,0,0
926,50921,85192.91,0,0
927,50922,387587.89,0,0
928,50923,455853.41,0,0
929,50924,493267.14,0,0
930,50925,1400497.76,0,0
931,50926,934915.03,0,0
932,50927,1318532.01,0,0
933,50928,422273.41,0,0
934,50929,537853.25,0,0
935,50930,553346.99,0,0
936,50931,159927.97,0,0
937,50932,81578.0,0,0
938,50933,1390946.3,0,0
939,50934,943408.76,0,0
940,50935,682023.0,0,0
941,50936,422789.52,0,0
942,50937,129477.54,0,0
943,50938,82421.58,0,0
944,50939,603977.63,0,0
945,50940,36890.37,0,0
946,50941,847390.27,0,0
947,50942,464203.65,0,0
948,50943,569590.04,0,0
949,50944,63806.33,0,0
950,50945,696035.43,0,0
951,50946,1707808.97,0,0
952,50947,306982.89,0,0
953,50948,528891.01,0,0
954,50949,2385462.58,0,0
955,50950,568730.07,0,0
956,50951,1471694.13,0,0
957,50952,1056421.91,0,0
958,50953,181616.04,0,0
959,50954,521805.18,0,0
960,50955,640642.24,0,0
961,50956,427366.16,0,0
962,50957,1672997.95,0,0
963,50958,333683.06,0,0
964,50959,50962.59,0,0
965,50960,788160.84,0,0
966,50961,492134.33,0,0
967,50962,216311.2,0,0
968,50963,463284.83,0,0
969,50964,489837.26,0,0
970,50965,4057587.03,0,0
971,50966,410346.97,0,0
972,50967,358370.98,0,0
973,50968,31866.77,0,0
974,50969,321614.77,0,0
975,50970,1184530.48,0,0
976,50971,867131.51,0,0
977,50972,252291.71,0,0
978,50973,578710.79,0,0
979,50974,252647.43,0,0
980,50975,763048.2,0,0
